asv	Kingdom	Phylum	Class	Order	Family	Genus	Species
asv01712	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodomicrobiaceae	Rhodomicrobium	uncultured_Rhodomicrobium
asv01713	Bacteria	Proteobacteria	Gammaproteobacteria	eub62A3	eub62A3	eub62A3	metagenome
asv01714	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermatophilaceae	unclassified	unclassified
asv01715	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Diplorickettsia	unclassified
asv01716	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	uncultured	uncultured_Rhodospirillales
asv01717	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Bartonella	unclassified
asv01718	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter	Luteibacter_sp.
asv01719	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	uncultured_Coxiella
asv01720	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Elizabethkingia	Elizabethkingia_meningoseptica
asv01721	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales	Saccharimonadales	Candidatus_Saccharibacteria
asv01722	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_R-7_group	uncultured_sludge
asv01723	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	unclassified	unclassified	unclassified
asv01724	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	Dietzia_maris
asv01725	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	ZOR0006	uncultured_bacterium
asv01726	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Candidimonas	uncultured_bacterium
asv01727	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	uncultured	uncultured_bacterium
asv01728	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12	uncultured_Alphaproteobacteria
asv01729	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	unclassified	unclassified
asv01730	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	uncultured_bacterium
asv01731	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propioniciclava	uncultured_bacterium
asv01732	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	bacterium_Ellin7530
asv01733	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Quadrisphaera	uncultured_bacterium
asv01734	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	uncultured	Paracraurococcus_sp.
asv01735	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Longispora	Longispora_albida
asv01736	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	uncultured	Verrucomicrobium_sp.
asv01737	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	uncultured_Anaerolineaceae
asv01738	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter_koreensis
asv01739	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	uncultured_Streptococcaceae
asv01740	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	unclassified
asv01741	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta_2	Spirochaeta_aurantia
asv01742	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_nealsonii
asv01743	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_melaninogenica
asv01744	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga	uncultured_bacterium
asv01745	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	uncultured	bacterium_enrichment
