sample	species	bodysite	strategy	season	replic
Vp_Dsh_F1_S141	Vp	Dsh	NDT	Late Rainy	Vp_Dsh_F
Vp_Dsh_F2_S149	Vp	Dsh	NDT	Late Rainy	Vp_Dsh_F
Vp_Dsh_F3_S157	Vp	Dsh	NDT	Late Rainy	Vp_Dsh_F
Vp_Dsh_F4_S179	Vp	Dsh	NDT	Late Rainy	Vp_Dsh_F
Vp_Dsh_F5_S187	Vp	Dsh	NDT	Late Rainy	Vp_Dsh_F
Vp_Dsh_J1_S195	Vp	Dsh	NDT	Early Dry	Vp_Dsh_J
Vp_Dsh_J2_S203	Vp	Dsh	NDT	Early Dry	Vp_Dsh_J
Vp_Dsh_J3_S211	Vp	Dsh	NDT	Early Dry	Vp_Dsh_J
Vp_Dsh_J4_S219	Vp	Dsh	NDT	Early Dry	Vp_Dsh_J
Vp_Dsh_J5_S227	Vp	Dsh	NDT	Early Dry	Vp_Dsh_J
Vp_Dsh_A1_S235	Vp	Dsh	NDT	Late Dry	Vp_Dsh_A
Vp_Dsh_A2_S243	Vp	Dsh	NDT	Late Dry	Vp_Dsh_A
Vp_Dsh_A3_S250	Vp	Dsh	NDT	Late Dry	Vp_Dsh_A
Vp_Dsh_A4_S257	Vp	Dsh	NDT	Late Dry	Vp_Dsh_A
Vp_Dsh_A5_S264	Vp	Dsh	NDT	Late Dry	Vp_Dsh_A
Vp_Ar_S1_S245	Vp	Ar	NDT	Early Rainy	Vp_Ar_S
Vp_Ar_S2_S252	Vp	Ar	NDT	Early Rainy	Vp_Ar_S
Vp_Ar_S3_S259	Vp	Ar	NDT	Early Rainy	Vp_Ar_S
Vp_Ar_S4_S266	Vp	Ar	NDT	Early Rainy	Vp_Ar_S
Vp_Ar_S5_S182	Vp	Ar	NDT	Early Rainy	Vp_Ar_S
Vp_Ar_F1_S190	Vp	Ar	NDT	Late Rainy	Vp_Ar_F
Vp_Ar_F2_S198	Vp	Ar	NDT	Late Rainy	Vp_Ar_F
Vp_Ar_F3_S206	Vp	Ar	NDT	Late Rainy	Vp_Ar_F
Vp_Ar_F4_S214	Vp	Ar	NDT	Late Rainy	Vp_Ar_F
Vp_Ar_F5_S222	Vp	Ar	NDT	Late Rainy	Vp_Ar_F
Vp_Ar_J1_S230	Vp	Ar	NDT	Early Dry	Vp_Ar_J
Vp_Ar_J2_S238	Vp	Ar	NDT	Early Dry	Vp_Ar_J
Vp_Ar_J3_S246	Vp	Ar	NDT	Early Dry	Vp_Ar_J
Vp_Ar_J4_S253	Vp	Ar	NDT	Early Dry	Vp_Ar_J
Vp_Ar_J5_S260	Vp	Ar	NDT	Early Dry	Vp_Ar_J
Vp_Ar_A1_S267	Vp	Ar	NDT	Late Dry	Vp_Ar_A
Vp_Ar_A2_S183	Vp	Ar	NDT	Late Dry	Vp_Ar_A
Vp_Ar_A3_S191	Vp	Ar	NDT	Late Dry	Vp_Ar_A
Vp_Ar_A4_S199	Vp	Ar	NDT	Late Dry	Vp_Ar_A
Vp_Ar_A5_S207	Vp	Ar	NDT	Late Dry	Vp_Ar_A
