sample	species	bodysite	strategy	season	replic
Vp_S_J5_S35	Vp	S	NDT	Early Dry	Vp_S_J
Vp_S_A1_S36	Vp	S	NDT	Late Dry	Vp_S_A
Vp_S_A2_S37	Vp	S	NDT	Late Dry	Vp_S_A
Vp_S_A3_S38	Vp	S	NDT	Late Dry	Vp_S_A
Vp_S_A4_S39	Vp	S	NDT	Late Dry	Vp_S_A
Vp_S_A5_S40	Vp	S	NDT	Late Dry	Vp_S_A
Vn_Dsh_S1_S35	Vn	Dsh	DT	Early Rainy	Vn_Dsh_S
Vn_Ur_S1_S41	Vn	Ur	DT	Early Rainy	Vn_Ur_S
Vn_Dsh_S2_S43	Vn	Dsh	DT	Early Rainy	Vn_Dsh_S
Vn_Ur_S2_S42	Vn	Ur	DT	Early Rainy	Vn_Ur_S
Vn_Dsh_S3_S51	Vn	Dsh	DT	Early Rainy	Vn_Dsh_S
Vn_Ur_S3_S43	Vn	Ur	DT	Early Rainy	Vn_Ur_S
Vn_Dsh_S4_S59	Vn	Dsh	DT	Early Rainy	Vn_Dsh_S
Vn_Ur_S4_S44	Vn	Ur	DT	Early Rainy	Vn_Ur_S
Vn_Dsh_S5_S67	Vn	Dsh	DT	Early Rainy	Vn_Dsh_S
Vn_Ur_S5_S45	Vn	Ur	DT	Early Rainy	Vn_Ur_S
Vn_Dsh_F1_S75	Vn	Dsh	DT	Late Rainy	Vn_Dsh_F
Vn_Ur_F1_S46	Vn	Ur	DT	Late Rainy	Vn_Ur_F
Vn_Dsh_F2_S82	Vn	Dsh	DT	Late Rainy	Vn_Dsh_F
Vn_Ur_F5_S47	Vn	Ur	DT	Late Rainy	Vn_Ur_F
Vn_Dsh_F3_S89	Vn	Dsh	DT	Late Rainy	Vn_Dsh_F
Vn_Ur_J1_S48	Vn	Ur	DT	Early Dry	Vn_Ur_J
Vn_Dsh_F4_S5	Vn	Dsh	DT	Late Rainy	Vn_Dsh_F
Vn_Ur_J2_S49	Vn	Ur	DT	Early Dry	Vn_Ur_J
Vn_Dsh_F5_S12	Vn	Dsh	DT	Late Rainy	Vn_Dsh_F
Vn_Ur_J3_S50	Vn	Ur	DT	Early Dry	Vn_Ur_J
Vn_Dsh_J1_S20	Vn	Dsh	DT	Early Dry	Vn_Dsh_J
Vn_Ur_J4_S51	Vn	Ur	DT	Early Dry	Vn_Ur_J
Vn_Dsh_J2_S28	Vn	Dsh	DT	Early Dry	Vn_Dsh_J
Vn_Ur_J5_S52	Vn	Ur	DT	Early Dry	Vn_Ur_J
Vn_Dsh_J3_S36	Vn	Dsh	DT	Early Dry	Vn_Dsh_J
Vn_Ur_A1_S53	Vn	Ur	DT	Late Dry	Vn_Ur_A
Vn_Dsh_J4_S44	Vn	Dsh	DT	Early Dry	Vn_Dsh_J
Vn_Ur_A2_S54	Vn	Ur	DT	Late Dry	Vn_Ur_A
Vn_Dsh_J5_S52	Vn	Dsh	DT	Early Dry	Vn_Dsh_J
Vn_Ur_A3_S55	Vn	Ur	DT	Late Dry	Vn_Ur_A
Vn_Dsh_A1_S60	Vn	Dsh	DT	Late Dry	Vn_Dsh_A
Vn_Ur_A4_S56	Vn	Ur	DT	Late Dry	Vn_Ur_A
Vn_Dsh_A2_S68	Vn	Dsh	DT	Late Dry	Vn_Dsh_A
Vn_Ur_A5_S57	Vn	Ur	DT	Late Dry	Vn_Ur_A
Vn_Dsh_A3_S76	Vn	Dsh	DT	Late Dry	Vn_Dsh_A
Vn_S_S1_S58	Vn	S	DT	Early Rainy	Vn_S_S
Vn_Dsh_A4_S83	Vn	Dsh	DT	Late Dry	Vn_Dsh_A
Vn_S_S2_S59	Vn	S	DT	Early Rainy	Vn_S_S
Vn_S_S3_S60	Vn	S	DT	Early Rainy	Vn_S_S
Vn_S_S4_S61	Vn	S	DT	Early Rainy	Vn_S_S
Vn_S_F1_S62	Vn	S	DT	Late Rainy	Vn_S_F
Vn_S_F2_S63	Vn	S	DT	Late Rainy	Vn_S_F
Vn_S_F3_S64	Vn	S	DT	Late Rainy	Vn_S_F
Vn_S_F4_S65	Vn	S	DT	Late Rainy	Vn_S_F
Vn_S_F5_S66	Vn	S	DT	Late Rainy	Vn_S_F
Vn_S_J1_S67	Vn	S	DT	Early Dry	Vn_S_J
Vn_S_J2_S68	Vn	S	DT	Early Dry	Vn_S_J
Vn_S_J3_S69	Vn	S	DT	Early Dry	Vn_S_J
Vn_S_J4_S70	Vn	S	DT	Early Dry	Vn_S_J
Vn_S_J5_S71	Vn	S	DT	Early Dry	Vn_S_J
Vn_S_A1_S72	Vn	S	DT	Late Dry	Vn_S_A
Vn_S_A2_S73	Vn	S	DT	Late Dry	Vn_S_A
Vn_S_A3_S74	Vn	S	DT	Late Dry	Vn_S_A
Vn_S_A4_S75	Vn	S	DT	Late Dry	Vn_S_A
Vn_S_A5_S76	Vn	S	DT	Late Dry	Vn_S_A
Vt_Ur_S1_S77	Vt	Ur	DT	Early Rainy	Vt_Ur_S
Vt_Ur_S2_S78	Vt	Ur	DT	Early Rainy	Vt_Ur_S
Vt_Ur_S3_S79	Vt	Ur	DT	Early Rainy	Vt_Ur_S
Vt_Ur_S4_S80	Vt	Ur	DT	Early Rainy	Vt_Ur_S
Vn_Ar_S1_S70	Vn	Ar	DT	Early Rainy	Vn_Ar_S
Vt_Ur_S5_S81	Vt	Ur	DT	Early Rainy	Vt_Ur_S
Vn_Ar_S2_S78	Vn	Ar	DT	Early Rainy	Vn_Ar_S
Vt_Ur_F1_S82	Vt	Ur	DT	Late Rainy	Vt_Ur_F
Vn_Ar_S3_S85	Vn	Ar	DT	Early Rainy	Vn_Ar_S
Vt_Ur_F2_S83	Vt	Ur	DT	Late Rainy	Vt_Ur_F
Vn_Ar_S4_S92	Vn	Ar	DT	Early Rainy	Vn_Ar_S
Vt_Ur_F3_S84	Vt	Ur	DT	Late Rainy	Vt_Ur_F
Vt_Ur_F4_S85	Vt	Ur	DT	Late Rainy	Vt_Ur_F
